1.61375e-05	-5.77303e-07	0	0	1.12325e-05	7.32609e-06	5.85506e-06	1.84694e-06	1.46239e-05	9.00298e-06	
-5.77303e-07	4.97512e-06	0	0	2.51141e-07	2.47232e-07	3.93005e-07	1.43879e-06	-1.57006e-06	-6.53254e-07	
0	0	5.68834e-06	1.11348e-06	0	0	0	0	0	0	
0	0	1.11348e-06	7.28934e-06	0	0	0	0	0	0	
1.12325e-05	2.51141e-07	0	0	1.25274e-05	6.08307e-06	5.60609e-06	1.0181e-06	1.45455e-05	7.08089e-06	
7.32609e-06	2.47232e-07	0	0	6.08307e-06	1.0022e-05	2.37714e-06	1.82706e-06	9.80201e-06	1.18608e-05	
5.85506e-06	3.93005e-07	0	0	5.60609e-06	2.37714e-06	5.27578e-06	4.42383e-07	6.36065e-06	2.75023e-06	
1.84694e-06	1.43879e-06	0	0	1.0181e-06	1.82706e-06	4.42383e-07	3.67246e-06	1.24266e-06	1.9381e-06	
1.46239e-05	-1.57006e-06	0	0	1.45455e-05	9.80201e-06	6.36065e-06	1.24266e-06	4.96472e-05	2.33684e-05	
9.00298e-06	-6.53254e-07	0	0	7.08089e-06	1.18608e-05	2.75023e-06	1.9381e-06	2.33684e-05	2.75783e-05	
